Województwo zameldowania na pobyt stały,Nazwisko aktualne,Liczba
DOLNOŚLĄSKIE,DOMAGAŁA,746
DOLNOŚLĄSKIE,LIPIŃSKI,743
DOLNOŚLĄSKIE,PIĄTEK,740
DOLNOŚLĄSKIE,LECH,739
DOLNOŚLĄSKIE,SOBCZAK,731
DOLNOŚLĄSKIE,MAKOWSKI,730
DOLNOŚLĄSKIE,ŻYGADŁO,730
DOLNOŚLĄSKIE,GÓRECKI,729
DOLNOŚLĄSKIE,KALINOWSKI,727
DOLNOŚLĄSKIE,WESOŁOWSKI,723
DOLNOŚLĄSKIE,KUCZYŃSKI,722
DOLNOŚLĄSKIE,LISOWSKI,722
DOLNOŚLĄSKIE,DOBROWOLSKI,720
DOLNOŚLĄSKIE,WÓJTOWICZ,719
DOLNOŚLĄSKIE,BOROWSKI,715
DOLNOŚLĄSKIE,ORŁOWSKI,713
DOLNOŚLĄSKIE,SKIBA,712
DOLNOŚLĄSKIE,LESZCZYŃSKI,708
DOLNOŚLĄSKIE,ŻAK,706
DOLNOŚLĄSKIE,ANDRZEJEWSKI,700
DOLNOŚLĄSKIE,WAWRZYNIAK,698
DOLNOŚLĄSKIE,ŚLIWIŃSKI,697
DOLNOŚLĄSKIE,LEŚNIAK,691
DOLNOŚLĄSKIE,CIESIELSKI,690
DOLNOŚLĄSKIE,SZULC,689
DOLNOŚLĄSKIE,ZARZYCKI,689
DOLNOŚLĄSKIE,KĘDZIERSKI,686
DOLNOŚLĄSKIE,BRZEZIŃSKI,684
DOLNOŚLĄSKIE,JANICKI,682
DOLNOŚLĄSKIE,RAK,681
DOLNOŚLĄSKIE,KOT,680
DOLNOŚLĄSKIE,URBAN,678
DOLNOŚLĄSKIE,LASKOWSKI,673
DOLNOŚLĄSKIE,KACZMARCZYK,667
DOLNOŚLĄSKIE,KOŁODZIEJCZYK,667
DOLNOŚLĄSKIE,BEDNAREK,666
DOLNOŚLĄSKIE,DZIEDZIC,665
DOLNOŚLĄSKIE,ZAKRZEWSKI,664
DOLNOŚLĄSKIE,KUREK,656
DOLNOŚLĄSKIE,ZAWADA,656
DOLNOŚLĄSKIE,KASPRZAK,655
DOLNOŚLĄSKIE,ŁUCZAK,650
DOLNOŚLĄSKIE,STASIAK,642
DOLNOŚLĄSKIE,TOMCZYK,642
DOLNOŚLĄSKIE,DOMAŃSKI,639
DOLNOŚLĄSKIE,MORAWSKI,639
DOLNOŚLĄSKIE,KLIMEK,634
DOLNOŚLĄSKIE,BEDNARSKI,633
DOLNOŚLĄSKIE,CIEŚLAK,628
DOLNOŚLĄSKIE,MARSZAŁEK,627
DOLNOŚLĄSKIE,DROZD,626
DOLNOŚLĄSKIE,MADEJ,625
DOLNOŚLĄSKIE,SOCHA,624
DOLNOŚLĄSKIE,ŚWIĄTEK,623
DOLNOŚLĄSKIE,WRONA,621
DOLNOŚLĄSKIE,BRZOZOWSKI,613
DOLNOŚLĄSKIE,NAWROCKI,608
DOLNOŚLĄSKIE,MAŁECKI,604
DOLNOŚLĄSKIE,SOBCZYK,604
DOLNOŚLĄSKIE,SOWA,601
DOLNOŚLĄSKIE,KARPIŃSKI,598
DOLNOŚLĄSKIE,KASPRZYK,589
DOLNOŚLĄSKIE,LEWICKI,586
DOLNOŚLĄSKIE,MAREK,585
DOLNOŚLĄSKIE,POLAK,585
DOLNOŚLĄSKIE,KANIA,579
DOLNOŚLĄSKIE,KOWALEWSKI,579
DOLNOŚLĄSKIE,OWCZAREK,577
DOLNOŚLĄSKIE,GOŁĘBIOWSKI,576
DOLNOŚLĄSKIE,MAJ,576
DOLNOŚLĄSKIE,MATKOWSKI,576
DOLNOŚLĄSKIE,MARCINKOWSKI,574
DOLNOŚLĄSKIE,ROGOWSKI,574
DOLNOŚLĄSKIE,SROKA,574
DOLNOŚLĄSKIE,WINIARSKI,569
DOLNOŚLĄSKIE,GAJDA,565
DOLNOŚLĄSKIE,SKOWROŃSKI,559
DOLNOŚLĄSKIE,KRAWIEC,558
DOLNOŚLĄSKIE,TOMCZAK,557
DOLNOŚLĄSKIE,JASTRZĘBSKI,550
DOLNOŚLĄSKIE,PODGÓRSKI,550
DOLNOŚLĄSKIE,SOBOLEWSKI,549
DOLNOŚLĄSKIE,ORZECHOWSKI,543
DOLNOŚLĄSKIE,MICHALIK,540
DOLNOŚLĄSKIE,PALUCH,539
DOLNOŚLĄSKIE,MUSZYŃSKI,537
DOLNOŚLĄSKIE,SZYDŁOWSKI,536
DOLNOŚLĄSKIE,BIAŁEK,531
DOLNOŚLĄSKIE,KUROWSKI,525
DOLNOŚLĄSKIE,BANAŚ,524
DOLNOŚLĄSKIE,PLUTA,523
DOLNOŚLĄSKIE,BIERNACKI,520
DOLNOŚLĄSKIE,PTAK,515
DOLNOŚLĄSKIE,KACZOR,514
DOLNOŚLĄSKIE,ŚLIWA,514
DOLNOŚLĄSKIE,KWIECIEŃ,513
DOLNOŚLĄSKIE,MIELCZAREK,508
DOLNOŚLĄSKIE,RYBAK,508
DOLNOŚLĄSKIE,CHOJNACKI,507
DOLNOŚLĄSKIE,KUBICKI,501
DOLNOŚLĄSKIE,CIEŚLA,496
DOLNOŚLĄSKIE,SERAFIN,496
DOLNOŚLĄSKIE,GIL,494
DOLNOŚLĄSKIE,SOSNOWSKI,491
DOLNOŚLĄSKIE,KULIK,490
DOLNOŚLĄSKIE,SMOLIŃSKI,485
DOLNOŚLĄSKIE,ZAJĄCZKOWSKI,485
DOLNOŚLĄSKIE,MATUSIAK,483
DOLNOŚLĄSKIE,MATUSZEWSKI,483
DOLNOŚLĄSKIE,BOBER,479
DOLNOŚLĄSKIE,CHMIEL,478
DOLNOŚLĄSKIE,GRZESIAK,478
DOLNOŚLĄSKIE,SKOWRON,478
DOLNOŚLĄSKIE,WOŹNY,478
DOLNOŚLĄSKIE,GAWRON,476
DOLNOŚLĄSKIE,BUKOWSKI,471
DOLNOŚLĄSKIE,PASTERNAK,470
DOLNOŚLĄSKIE,CYBULSKI,469
DOLNOŚLĄSKIE,GĄSIOR,468
DOLNOŚLĄSKIE,WĘGRZYN,468
DOLNOŚLĄSKIE,WOLAK,468
DOLNOŚLĄSKIE,ŻUKOWSKI,468
DOLNOŚLĄSKIE,BRONOWICKI,466
DOLNOŚLĄSKIE,GRZELAK,462
DOLNOŚLĄSKIE,DROZDOWSKI,461
DOLNOŚLĄSKIE,MARCZAK,461
DOLNOŚLĄSKIE,ŚWIDERSKI,461
DOLNOŚLĄSKIE,MAJCHRZAK,459
DOLNOŚLĄSKIE,OLEJNICZAK,457
